Class,"_defaultColorIndex","id",Model,PA
"Class 2","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.857381284236908"
"Class 3","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.24544426798820496"
"Class 4","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.3029506802558899"
"Class 5","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.4224143922328949"
"Class 6","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.46896541118621826"
"Class 7","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.34021392464637756"
"Class 8","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.8465902805328369"
"Class 9","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.5271401405334473"
"Class 10","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.9584137797355652"
"Class 11","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.3359915614128113"
"Class 12","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.010867377743124962"
"Class 13","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.9099563956260681"
"Class 14","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.4257502555847168"
"Class 15","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.4500548541545868"
"Class 16","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0"
"Class 17","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.12032739818096161"
"Class 18","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.15238942205905914"
"Class 19","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.7515249252319336"
"Class 0","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.9400808811187744"
"Class 1","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.6835896968841553"
"Class 2","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.8551228046417236"
"Class 3","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.3111386001110077"
"Class 4","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.357548326253891"
"Class 5","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.4066520631313324"
"Class 6","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.44531020522117615"
"Class 7","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.34572649002075195"
"Class 8","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.84903883934021"
"Class 9","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.5528064370155334"
"Class 10","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.9565410614013672"
"Class 11","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.4507244825363159"
"Class 12","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0"
"Class 13","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.9129173755645752"
"Class 14","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.42841005325317383"
"Class 15","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.6600679755210876"
"Class 16","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0"
"Class 17","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.008944393135607243"
"Class 18","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0"
"Class 19","7","hmt_unet_def_sufl_2","hmt_unet_def_sufl_2","0.7661106586456299"
"Class 0","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.934853732585907"
"Class 1","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.6098324060440063"
"Class 2","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.8496745824813843"
"Class 3","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.2007768303155899"
"Class 4","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.27949684858322144"
"Class 5","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.3348877429962158"
"Class 6","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.4421139359474182"
"Class 7","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.3024555742740631"
"Class 8","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.8216341733932495"
"Class 9","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.5182926654815674"
"Class 10","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.9607968926429749"
"Class 11","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.33427751064300537"
"Class 12","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0"
"Class 13","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.8753485679626465"
"Class 14","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.3156883716583252"
"Class 15","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.22044530510902405"
"Class 16","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0"
"Class 17","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.0011813349556177855"
"Class 18","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.04181494563817978"
"Class 19","6","swin_unet_def_sufl_2","swin_unet_def_sufl_2","0.7302241921424866"
"Class 0","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.9425929188728333"
"Class 1","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.6942243576049805"
"Class 2","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.8697087168693542"
"Class 3","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.28087711334228516"
"Class 4","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.31776347756385803"
"Class 5","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.45180609822273254"
"Class 6","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.4853001832962036"
